hh7;name1;name2;ADM1_PCODE;name3
1;Vientiane Capital;Vientiane Capital;LA01;Vientiane Capital
2;Phonsaly;Phongsaly;LA02;Phonsaly
3;Luangnamtha;Louangnamtha;LA03;Luang Namtha
4;Oudomxay;Oudomxai;LA04;Oudomxay
5;Bokeo;Bokeo;LA05;Bokeo
6;Luangprabang;Louangphabang;LA06;Luang Prabang
7;Huaphan;Houaphan;LA07;Huaphan
8;Xayaoury;Xaignabouly;LA08;Xayaboury
9;Xieng Khuang;Xiengkhouang;LA09;Xieng Khuang
10;Vientiane  ;Vientiane;LA10;Vientiane
11;Bolikhamxay;Bolikhamxai;LA11;Bolikhamxay
12;Khammouane;Khammouan;LA12;Khammouane
13;Savannakhet;Savannakhet;LA13;Savannakhet
14;Saravan;Salavan;LA14;Saravan
15;Sekong;Sekong;LA15;Sekong
16;Champasack;Champasack;LA16;Champasack
17;Attapeu;Attapeu;LA17;Attapeu
18;Xaysombounr;Xaisomboon;LA18;Xaysomboun
